Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 237	 green: 240	 blue: 233
Mapped Sensor Values 	 red: 59	 green: 60	 blue: 58
Raw Sensor Values 	 red: 284	 green: 238	 blue: 276
Mapped Sensor Values 	 red: 71	 green: 59	 blue: 69
Raw Sensor Values 	 red: 313	 green: 226	 blue: 269
Mapped Sensor Values 	 red: 78	 green: 56	 blue: 67
Raw Sensor Values 	 red: 304	 green: 250	 blue: 242
Mapped Sensor Values 	 red: 76	 green: 62	 blue: 60
Raw Sensor Values 	 red: 273	 green: 267	 blue: 246
Mapped Sensor Values 	 red: 68	 green: 66	 blue: 61
Raw Sensor Values 	 red: 278	 green: 248	 blue: 270
Mapped Sensor Values 	 red: 69	 green: 62	 blue: 67
Raw Sensor Values 	 red: 305	 green: 231	 blue: 273
Mapped Sensor Values 	 red: 76	 green: 57	 blue: 68
Raw Sensor Values 	 red: 308	 green: 250	 blue: 247
Mapped Sensor Values 	 red: 77	 green: 62	 blue: 61
Raw Sensor Values 	 red: 277	 green: 273	 blue: 242
Mapped Sensor Values 	 red: 69	 green: 68	 blue: 60
Raw Sensor Values 	 red: 274	 green: 259	 blue: 266
Mapped Sensor Values 	 red: 68	 green: 64	 blue: 66
Raw Sensor Values 	 red: 301	 green: 235	 blue: 277
Mapped Sensor Values 	 red: 75	 green: 58	 blue: 69
Raw Sensor Values 	 red: 313	 green: 244	 blue: 253
Mapped Sensor Values 	 red: 78	 green: 61	 blue: 63
Raw Sensor Values 	 red: 284	 green: 265	 blue: 239
Mapped Sensor Values 	 red: 71	 green: 66	 blue: 59
Raw Sensor Values 	 red: 270	 green: 259	 blue: 260
Mapped Sensor Values 	 red: 67	 green: 64	 blue: 65
Raw Sensor Values 	 red: 294	 green: 233	 blue: 276
Mapped Sensor Values 	 red: 73	 green: 58	 blue: 69
Raw Sensor Values 	 red: 312	 green: 235	 blue: 256
Mapped Sensor Values 	 red: 78	 green: 58	 blue: 64
Raw Sensor Values 	 red: 295	 green: 259	 blue: 238
Mapped Sensor Values 	 red: 73	 green: 64	 blue: 59
Raw Sensor Values 	 red: 275	 green: 262	 blue: 255
Mapped Sensor Values 	 red: 68	 green: 65	 blue: 63
Raw Sensor Values 	 red: 14	 green: 7	 blue: 6
Mapped Sensor Values 	 red: 3	 green: 1	 blue: 1
Raw Sensor Values 	 red: 1	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
